"","mad"
"0610005C13Rik",0.157017553367296
"0610006L08Rik",0
"0610009B22Rik",0.433891459060512
"0610009E02Rik",0.26090631220183
"0610009L18Rik",0.677643234668958
"0610010K14Rik",0.528013503997487
"0610012D04Rik",0
"0610012G03Rik",0.54166392777106
"0610025J13Rik",0
"0610030E20Rik",18.1233794724268
"0610031O16Rik",0
"0610033M10Rik",0
"0610038B21Rik",0.16498564382524
"0610039K10Rik",0.0266188447588705
"0610040B10Rik",0.834277422138938
"0610040F04Rik",0.544109860187055
"0610040J01Rik",0.145077532572674
"0610043K17Rik",0.171811309876637
"0710001A04Rik",0
"1010001B22Rik",0.0459813633380976
"1100001I12Rik",0
"1110002E22Rik",0.431281319279718
"1110002J07Rik",0.0998759570426106
"1110002L01Rik",0.389613636062365
"1110002O04Rik",0.146423840758947
"1110003F10Rik",0.00416832955671708
"1110004F10Rik",7.57986090565802
"1110006O24Rik",0.220036016222019
"1110008E08Rik",0.0232733269987154
"1110013H19Rik",0.148510194606636
"1110015O18Rik",0.142843309475996
"1110017D15Rik",0.171212848448918
"1110018N20Rik",1.56705553654561
"1110019B22Rik",0
"1110019D14Rik",0.693296778125779
"1110020A21Rik",0.0788861745507065
"1110025L11Rik",0
"1110025M09Rik",0.231839938763289
"1110028F11Rik",0
"1110028F18Rik",0
"1110032A03Rik",3.84857714171643
"1110032F04Rik",3.02679798070467
"1110035H17Rik",0
"1110038B12Rik",1.22455210087252
"1110038F14Rik",1.43387897058822
"1110046J04Rik",0.420774475695062
"1110057P08Rik",0
"1110059E24Rik",0.272679607506681
"1110059G10Rik",1.46788045563079
"1110060G06Rik",0.0395262670762559
"1110065P20Rik",1.7062291591933
"1190001M18Rik",0
"1190005I06Rik",0.358685498234455
"1190007I07Rik",1.21075091192224
"1190028D05Rik",0
"1200007C13Rik",0
"1300002E11Rik",2.69836062596716
"1300014J16Rik",0.152814381421389
"1500002C15Rik",0.0674911819557502
"1500002F19Rik",0.0488053552817954
"1500004A13Rik",2.68795232624377
"1500005C15Rik",0.0507521261643445
"1500009L16Rik",0.460936165714594
"1500011B03Rik",3.82762508938512
"1500012K07Rik",0.0639471684627363
"1500015A07Rik",0.523602498893769
"1500015L24Rik",0.372395145979057
"1500026H17Rik",0.785253754175962
"1500032F14Rik",0.0370926821541576
"1500035N22Rik",0.170687903873282
"1520401A03Rik",0.341047311109504
"1600002D24Rik",0
"1600010M07Rik",0.0464242697442201
"1600012H06Rik",1.21047983872971
"1600012P17Rik",0
"1600014C10Rik",1.88140893698682
"1600014C23Rik",0.029368695271453
"1600017P15Rik",0.0215319344604652
"1600019K03Rik",0
"1600020E01Rik",0.691104032564942
"1600022D10Rik",0
"1600023N17Rik",0.160200496123461
"1600025M17Rik",0
"1600027J07Rik",0
"1600029O15Rik",0.408795835807195
"1700001C19Rik",0.0131366126107836
"1700001D01Rik",0
"1700001F09Rik",0
"1700001G01Rik",0
